date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:52:13	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-656fa476-9348a0320e44ac66;gz%22	https://bidenerc.site/robots.txt		(from )
12:52:15	14429/14429	---M-Z	200	added ('OK')	text/html	etag:%22385d-660d70d5-be368b4d6d5570c7;gz%22	https://bidenerc.site/	C:/Users/USER/OneDrive/Desktop/mr%20president/mrpresident/bidenerc.site/index.html	(from )
12:52:18	216697/216697	---M-Z	200	added ('OK')	text/css	etag:%2234e79-660b6a14-169e557db9c70bef;gz%22	https://bidenerc.site/app/bootstrap/css/bootstrap.css	C:/Users/USER/OneDrive/Desktop/mr%20president/mrpresident/bidenerc.site/app/bootstrap/css/bootstrap.css	(from https://bidenerc.site/)
12:52:22	13972/13972	---M-Z	200	added ('OK')	text/css	etag:%223694-660b6977-7bae98923c187a13;gz%22	https://bidenerc.site/app/swiper/swiper-bundle.min.css	C:/Users/USER/OneDrive/Desktop/mr%20president/mrpresident/bidenerc.site/app/swiper/swiper-bundle.min.css	(from https://bidenerc.site/)
12:52:52	224928/224928	---M-Z	200	added ('OK')	text/css	etag:%2236ea0-660b696d-4230e2645fe20c35;gz%22	https://bidenerc.site/assets/font/font-awesome.css	C:/Users/USER/OneDrive/Desktop/mr%20president/mrpresident/bidenerc.site/assets/font/font-awesome.css	(from https://bidenerc.site/)
12:52:54	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/Users/USER/OneDrive/Desktop/mr%20president/mrpresident/unpkg.com/aos@2.3.1/dist/aos.css	(from https://bidenerc.site/)
12:52:55	4519/4519	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2030%20Oct%202024%2011:52:56%20GMT	https://code.highcharts.com/highcharts.js	C:/Users/USER/OneDrive/Desktop/mr%20president/mrpresident/code.highcharts.com/highcharts.6.delayed	(from https://bidenerc.site/)
12:53:02	14429/14429	---M-Z	200	added ('OK')	text/html	etag:%22385d-660d70d5-be368b4d6d5570c7;gz%22	https://bidenerc.site/index.html	C:/Users/USER/OneDrive/Desktop/mr%20president/mrpresident/bidenerc.site/index-2.html	(from https://bidenerc.site/)
12:53:04	196586/196586	---M-Z	200	added ('OK')	text/css	etag:%222ffea-660b6971-d20c376a8eb61fa6;gz%22	https://bidenerc.site/app/dist/app.css	C:/Users/USER/OneDrive/Desktop/mr%20president/mrpresident/bidenerc.site/app/dist/app.css	(from https://bidenerc.site/)
12:53:06	3745/3745	---M--	200	added ('OK')	image/png	etag:%22ea1-660b69d4-51a67ecefc8b6c98;;;%22	https://bidenerc.site/assets/images/logo/bf.png	C:/Users/USER/OneDrive/Desktop/mr%20president/mrpresident/bidenerc.site/assets/images/logo/bf.png	(from https://bidenerc.site/)
12:53:20	14433/14433	---M--	200	added ('OK')	image/png	etag:%223861-660b69c9-d0dc37c8267d2f0e;;;%22	https://bidenerc.site/assets//images/common/coin4.png	C:/Users/USER/OneDrive/Desktop/mr%20president/mrpresident/bidenerc.site/assets/images/common/coin4.png	(from https://bidenerc.site/)
12:53:32	188143/188143	---M--	200	added ('OK')	image/jpeg	etag:%222deef-660b69d0-60713d187c122e74;;;%22	https://bidenerc.site/assets/images/logo/2.jpg	C:/Users/USER/OneDrive/Desktop/mr%20president/mrpresident/bidenerc.site/assets/images/logo/2.jpg	(from https://bidenerc.site/)
12:53:41	242006/242006	---M--	200	added ('OK')	image/jpeg	etag:%223b156-660b69cf-942e00b5db56be3;;;%22	https://bidenerc.site/assets/images/logo/1.jpg	C:/Users/USER/OneDrive/Desktop/mr%20president/mrpresident/bidenerc.site/assets/images/logo/1.jpg	(from https://bidenerc.site/)
12:53:49	433618/433618	---M--	200	added ('OK')	image/jpeg	etag:%2269dd2-660b69de-c1d197df892de4f3;;;%22	https://bidenerc.site/assets/images//logo/ho.jpg	C:/Users/USER/OneDrive/Desktop/mr%20president/mrpresident/bidenerc.site/assets/images/logo/ho.jpg	(from https://bidenerc.site/)
12:53:53	89503/89503	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215d9f-660b6974-baa0bd1d30aba1db;gz%22	https://bidenerc.site/app/js/jquery.min.js	C:/Users/USER/OneDrive/Desktop/mr%20president/mrpresident/bidenerc.site/app/js/jquery.min.js	(from https://bidenerc.site/)
12:53:54	131849/131849	---M--	200	added ('OK')	image/jpeg	etag:%2220309-660b69d3-de4256d026a1ec0e;;;%22	https://bidenerc.site/assets/images/logo/4.jpg	C:/Users/USER/OneDrive/Desktop/mr%20president/mrpresident/bidenerc.site/assets/images/logo/4.jpg	(from https://bidenerc.site/)
12:53:56	146415/146415	---M-Z	200	added ('OK')	application/x-javascript	etag:%2223bef-660b6976-93d0ad66575940bd;gz%22	https://bidenerc.site/app/js/swiper-bundle.min.js	C:/Users/USER/OneDrive/Desktop/mr%20president/mrpresident/bidenerc.site/app/js/swiper-bundle.min.js	(from https://bidenerc.site/)
12:53:56	146935/146935	---M--	200	added ('OK')	image/jpeg	etag:%2223df7-660b69d2-2957efb3c915e5b4;;;%22	https://bidenerc.site/assets/images/logo/3.jpg	C:/Users/USER/OneDrive/Desktop/mr%20president/mrpresident/bidenerc.site/assets/images/logo/3.jpg	(from https://bidenerc.site/)
12:53:58	6317/6317	---M-Z	200	added ('OK')	application/x-javascript	etag:%2218ad-660b6976-ed0e284f780530ff;gz%22	https://bidenerc.site/app/js/swiper.js	C:/Users/USER/OneDrive/Desktop/mr%20president/mrpresident/bidenerc.site/app/js/swiper.js	(from https://bidenerc.site/)
